world_id,split,n_examples,n_propositions,n_true,n_false,n_unknown
dev_world_000000,dev,72,9,24,24,24
dev_world_000001,dev,72,9,24,24,24
dev_world_000002,dev,72,9,24,24,24
dev_world_000003,dev,72,9,24,24,24
dev_world_000004,dev,72,9,24,24,24
dev_world_000005,dev,72,9,24,24,24
dev_world_000006,dev,72,9,24,24,24
dev_world_000007,dev,72,9,24,24,24
dev_world_000008,dev,72,9,24,24,24
dev_world_000009,dev,72,9,24,24,24
dev_world_000010,dev,72,9,24,24,24
dev_world_000011,dev,72,9,24,24,24
dev_world_000012,dev,72,9,24,24,24
dev_world_000013,dev,72,9,24,24,24
dev_world_000014,dev,72,9,24,24,24
dev_world_000015,dev,72,9,24,24,24
dev_world_000016,dev,72,9,24,24,24
dev_world_000017,dev,72,9,24,24,24
dev_world_000018,dev,72,9,24,24,24
dev_world_000019,dev,72,9,24,24,24
dev_world_000020,dev,72,9,24,24,24
dev_world_000021,dev,72,9,24,24,24
dev_world_000022,dev,72,9,24,24,24
dev_world_000023,dev,72,9,24,24,24
dev_world_000024,dev,72,9,24,24,24
eval_world_000000,eval,72,9,24,24,24
eval_world_000001,eval,72,9,24,24,24
eval_world_000002,eval,72,9,24,24,24
eval_world_000003,eval,72,9,24,24,24
eval_world_000004,eval,72,9,24,24,24
eval_world_000005,eval,72,9,24,24,24
eval_world_000006,eval,72,9,24,24,24
eval_world_000007,eval,72,9,24,24,24
eval_world_000008,eval,72,9,24,24,24
eval_world_000009,eval,72,9,24,24,24
eval_world_000010,eval,72,9,24,24,24
eval_world_000011,eval,72,9,24,24,24
eval_world_000012,eval,72,9,24,24,24
eval_world_000013,eval,72,9,24,24,24
eval_world_000014,eval,72,9,24,24,24
eval_world_000015,eval,72,9,24,24,24
eval_world_000016,eval,72,9,24,24,24
eval_world_000017,eval,72,9,24,24,24
eval_world_000018,eval,72,9,24,24,24
eval_world_000019,eval,72,9,24,24,24
eval_world_000020,eval,72,9,24,24,24
eval_world_000021,eval,72,9,24,24,24
eval_world_000022,eval,72,9,24,24,24
eval_world_000023,eval,72,9,24,24,24
eval_world_000024,eval,72,9,24,24,24
eval_world_000025,eval,72,9,24,24,24
eval_world_000026,eval,72,9,24,24,24
eval_world_000027,eval,72,9,24,24,24
eval_world_000028,eval,72,9,24,24,24
eval_world_000029,eval,72,9,24,24,24
eval_world_000030,eval,72,9,24,24,24
eval_world_000031,eval,72,9,24,24,24
eval_world_000032,eval,72,9,24,24,24
eval_world_000033,eval,72,9,24,24,24
eval_world_000034,eval,72,9,24,24,24
eval_world_000035,eval,72,9,24,24,24
eval_world_000036,eval,72,9,24,24,24
eval_world_000037,eval,72,9,24,24,24
eval_world_000038,eval,72,9,24,24,24
eval_world_000039,eval,72,9,24,24,24
eval_world_000040,eval,72,9,24,24,24
eval_world_000041,eval,72,9,24,24,24
eval_world_000042,eval,72,9,24,24,24
eval_world_000043,eval,72,9,24,24,24
eval_world_000044,eval,72,9,24,24,24
eval_world_000045,eval,72,9,24,24,24
eval_world_000046,eval,72,9,24,24,24
eval_world_000047,eval,72,9,24,24,24
eval_world_000048,eval,72,9,24,24,24
eval_world_000049,eval,72,9,24,24,24
eval_world_000050,eval,72,9,24,24,24
eval_world_000051,eval,72,9,24,24,24
eval_world_000052,eval,72,9,24,24,24
eval_world_000053,eval,72,9,24,24,24
eval_world_000054,eval,72,9,24,24,24
eval_world_000055,eval,72,9,24,24,24
eval_world_000056,eval,72,9,24,24,24
eval_world_000057,eval,72,9,24,24,24
eval_world_000058,eval,72,9,24,24,24
eval_world_000059,eval,72,9,24,24,24
eval_world_000060,eval,72,9,24,24,24
eval_world_000061,eval,72,9,24,24,24
eval_world_000062,eval,72,9,24,24,24
eval_world_000063,eval,72,9,24,24,24
eval_world_000064,eval,72,9,24,24,24
eval_world_000065,eval,72,9,24,24,24
eval_world_000066,eval,72,9,24,24,24
eval_world_000067,eval,72,9,24,24,24
eval_world_000068,eval,72,9,24,24,24
eval_world_000069,eval,72,9,24,24,24
eval_world_000070,eval,72,9,24,24,24
eval_world_000071,eval,72,9,24,24,24
eval_world_000072,eval,72,9,24,24,24
eval_world_000073,eval,72,9,24,24,24
eval_world_000074,eval,72,9,24,24,24
eval_world_000075,eval,72,9,24,24,24
eval_world_000076,eval,72,9,24,24,24
eval_world_000077,eval,72,9,24,24,24
eval_world_000078,eval,72,9,24,24,24
eval_world_000079,eval,72,9,24,24,24
eval_world_000080,eval,72,9,24,24,24
eval_world_000081,eval,72,9,24,24,24
eval_world_000082,eval,72,9,24,24,24
eval_world_000083,eval,72,9,24,24,24
eval_world_000084,eval,72,9,24,24,24
eval_world_000085,eval,72,9,24,24,24
eval_world_000086,eval,72,9,24,24,24
eval_world_000087,eval,72,9,24,24,24
eval_world_000088,eval,72,9,24,24,24
eval_world_000089,eval,72,9,24,24,24
eval_world_000090,eval,72,9,24,24,24
eval_world_000091,eval,72,9,24,24,24
eval_world_000092,eval,72,9,24,24,24
eval_world_000093,eval,72,9,24,24,24
eval_world_000094,eval,72,9,24,24,24
eval_world_000095,eval,72,9,24,24,24
eval_world_000096,eval,72,9,24,24,24
eval_world_000097,eval,72,9,24,24,24
eval_world_000098,eval,72,9,24,24,24
eval_world_000099,eval,72,9,24,24,24
train_world_000000,train,72,9,24,24,24
train_world_000001,train,72,9,24,24,24
train_world_000002,train,72,9,24,24,24
train_world_000003,train,72,9,24,24,24
train_world_000004,train,72,9,24,24,24
train_world_000005,train,72,9,24,24,24
train_world_000006,train,72,9,24,24,24
train_world_000007,train,72,9,24,24,24
train_world_000008,train,72,9,24,24,24
train_world_000009,train,72,9,24,24,24
train_world_000010,train,72,9,24,24,24
train_world_000011,train,72,9,24,24,24
train_world_000012,train,72,9,24,24,24
train_world_000013,train,72,9,24,24,24
train_world_000014,train,72,9,24,24,24
train_world_000015,train,72,9,24,24,24
train_world_000016,train,72,9,24,24,24
train_world_000017,train,72,9,24,24,24
train_world_000018,train,72,9,24,24,24
train_world_000019,train,72,9,24,24,24
train_world_000020,train,72,9,24,24,24
train_world_000021,train,72,9,24,24,24
train_world_000022,train,72,9,24,24,24
train_world_000023,train,72,9,24,24,24
train_world_000024,train,72,9,24,24,24
train_world_000025,train,72,9,24,24,24
train_world_000026,train,72,9,24,24,24
train_world_000027,train,72,9,24,24,24
train_world_000028,train,72,9,24,24,24
train_world_000029,train,72,9,24,24,24
train_world_000030,train,72,9,24,24,24
train_world_000031,train,72,9,24,24,24
train_world_000032,train,72,9,24,24,24
train_world_000033,train,72,9,24,24,24
train_world_000034,train,72,9,24,24,24
train_world_000035,train,72,9,24,24,24
train_world_000036,train,72,9,24,24,24
train_world_000037,train,72,9,24,24,24
train_world_000038,train,72,9,24,24,24
train_world_000039,train,72,9,24,24,24
train_world_000040,train,72,9,24,24,24
train_world_000041,train,72,9,24,24,24
train_world_000042,train,72,9,24,24,24
train_world_000043,train,72,9,24,24,24
train_world_000044,train,72,9,24,24,24
train_world_000045,train,72,9,24,24,24
train_world_000046,train,72,9,24,24,24
train_world_000047,train,72,9,24,24,24
train_world_000048,train,72,9,24,24,24
train_world_000049,train,72,9,24,24,24
train_world_000050,train,72,9,24,24,24
train_world_000051,train,72,9,24,24,24
train_world_000052,train,72,9,24,24,24
train_world_000053,train,72,9,24,24,24
train_world_000054,train,72,9,24,24,24
train_world_000055,train,72,9,24,24,24
train_world_000056,train,72,9,24,24,24
train_world_000057,train,72,9,24,24,24
train_world_000058,train,72,9,24,24,24
train_world_000059,train,72,9,24,24,24
train_world_000060,train,72,9,24,24,24
train_world_000061,train,72,9,24,24,24
train_world_000062,train,72,9,24,24,24
train_world_000063,train,72,9,24,24,24
train_world_000064,train,72,9,24,24,24
train_world_000065,train,72,9,24,24,24
train_world_000066,train,72,9,24,24,24
train_world_000067,train,72,9,24,24,24
train_world_000068,train,72,9,24,24,24
train_world_000069,train,72,9,24,24,24
train_world_000070,train,72,9,24,24,24
train_world_000071,train,72,9,24,24,24
train_world_000072,train,72,9,24,24,24
train_world_000073,train,72,9,24,24,24
train_world_000074,train,72,9,24,24,24
train_world_000075,train,72,9,24,24,24
train_world_000076,train,72,9,24,24,24
train_world_000077,train,72,9,24,24,24
train_world_000078,train,72,9,24,24,24
train_world_000079,train,72,9,24,24,24
train_world_000080,train,72,9,24,24,24
train_world_000081,train,72,9,24,24,24
train_world_000082,train,72,9,24,24,24
train_world_000083,train,72,9,24,24,24
train_world_000084,train,72,9,24,24,24
train_world_000085,train,72,9,24,24,24
train_world_000086,train,72,9,24,24,24
train_world_000087,train,72,9,24,24,24
train_world_000088,train,72,9,24,24,24
train_world_000089,train,72,9,24,24,24
train_world_000090,train,72,9,24,24,24
train_world_000091,train,72,9,24,24,24
train_world_000092,train,72,9,24,24,24
train_world_000093,train,72,9,24,24,24
train_world_000094,train,72,9,24,24,24
train_world_000095,train,72,9,24,24,24
train_world_000096,train,72,9,24,24,24
train_world_000097,train,72,9,24,24,24
train_world_000098,train,72,9,24,24,24
train_world_000099,train,72,9,24,24,24
