example_id,world_id,proposition_id,paraphrase_id,split,label,pred_label,correct,template_id,template_family,lf_type,status,stop_reason,token_count,runtime_sec,sample_path,states_path,logits_path,error
train_world_000000_prop_0000_para_00,train_world_000000,train_world_000000_prop_0000,para_00,train,False,True,False,exactly_one_v0,exactly_one,exactly_one,ok,eos_token,4,1.113,artifacts/micro_world_v1/generations/Qwen__Qwen3_5_2B_train20/examples/train_world_000000_prop_0000_para_00/sample.json,artifacts/micro_world_v1/generations/Qwen__Qwen3_5_2B_train20/examples/train_world_000000_prop_0000_para_00/verdict_states.npz,artifacts/micro_world_v1/generations/Qwen__Qwen3_5_2B_train20/examples/train_world_000000_prop_0000_para_00/logits_summary.npz,
train_world_000000_prop_0000_para_01,train_world_000000,train_world_000000_prop_0000,para_01,train,False,True,False,exactly_one_v1,exactly_one,exactly_one,ok,eos_token,4,0.587,artifacts/micro_world_v1/generations/Qwen__Qwen3_5_2B_train20/examples/train_world_000000_prop_0000_para_01/sample.json,artifacts/micro_world_v1/generations/Qwen__Qwen3_5_2B_train20/examples/train_world_000000_prop_0000_para_01/verdict_states.npz,artifacts/micro_world_v1/generations/Qwen__Qwen3_5_2B_train20/examples/train_world_000000_prop_0000_para_01/logits_summary.npz,
train_world_000000_prop_0000_para_02,train_world_000000,train_world_000000_prop_0000,para_02,train,False,True,False,exactly_one_v2,exactly_one,exactly_one,ok,eos_token,4,0.588,artifacts/micro_world_v1/generations/Qwen__Qwen3_5_2B_train20/examples/train_world_000000_prop_0000_para_02/sample.json,artifacts/micro_world_v1/generations/Qwen__Qwen3_5_2B_train20/examples/train_world_000000_prop_0000_para_02/verdict_states.npz,artifacts/micro_world_v1/generations/Qwen__Qwen3_5_2B_train20/examples/train_world_000000_prop_0000_para_02/logits_summary.npz,
train_world_000000_prop_0000_para_03,train_world_000000,train_world_000000_prop_0000,para_03,train,False,True,False,exactly_one_v3,exactly_one,exactly_one,ok,eos_token,4,0.62,artifacts/micro_world_v1/generations/Qwen__Qwen3_5_2B_train20/examples/train_world_000000_prop_0000_para_03/sample.json,artifacts/micro_world_v1/generations/Qwen__Qwen3_5_2B_train20/examples/train_world_000000_prop_0000_para_03/verdict_states.npz,artifacts/micro_world_v1/generations/Qwen__Qwen3_5_2B_train20/examples/train_world_000000_prop_0000_para_03/logits_summary.npz,
train_world_000000_prop_0000_para_04,train_world_000000,train_world_000000_prop_0000,para_04,train,False,True,False,exactly_one_v0,exactly_one,exactly_one,ok,eos_token,4,0.587,artifacts/micro_world_v1/generations/Qwen__Qwen3_5_2B_train20/examples/train_world_000000_prop_0000_para_04/sample.json,artifacts/micro_world_v1/generations/Qwen__Qwen3_5_2B_train20/examples/train_world_000000_prop_0000_para_04/verdict_states.npz,artifacts/micro_world_v1/generations/Qwen__Qwen3_5_2B_train20/examples/train_world_000000_prop_0000_para_04/logits_summary.npz,
train_world_000000_prop_0000_para_05,train_world_000000,train_world_000000_prop_0000,para_05,train,False,True,False,exactly_one_v1,exactly_one,exactly_one,ok,eos_token,4,0.585,artifacts/micro_world_v1/generations/Qwen__Qwen3_5_2B_train20/examples/train_world_000000_prop_0000_para_05/sample.json,artifacts/micro_world_v1/generations/Qwen__Qwen3_5_2B_train20/examples/train_world_000000_prop_0000_para_05/verdict_states.npz,artifacts/micro_world_v1/generations/Qwen__Qwen3_5_2B_train20/examples/train_world_000000_prop_0000_para_05/logits_summary.npz,
train_world_000000_prop_0000_para_06,train_world_000000,train_world_000000_prop_0000,para_06,train,False,True,False,exactly_one_v2,exactly_one,exactly_one,ok,eos_token,4,0.583,artifacts/micro_world_v1/generations/Qwen__Qwen3_5_2B_train20/examples/train_world_000000_prop_0000_para_06/sample.json,artifacts/micro_world_v1/generations/Qwen__Qwen3_5_2B_train20/examples/train_world_000000_prop_0000_para_06/verdict_states.npz,artifacts/micro_world_v1/generations/Qwen__Qwen3_5_2B_train20/examples/train_world_000000_prop_0000_para_06/logits_summary.npz,
train_world_000000_prop_0000_para_07,train_world_000000,train_world_000000_prop_0000,para_07,train,False,True,False,exactly_one_v3,exactly_one,exactly_one,ok,eos_token,4,0.589,artifacts/micro_world_v1/generations/Qwen__Qwen3_5_2B_train20/examples/train_world_000000_prop_0000_para_07/sample.json,artifacts/micro_world_v1/generations/Qwen__Qwen3_5_2B_train20/examples/train_world_000000_prop_0000_para_07/verdict_states.npz,artifacts/micro_world_v1/generations/Qwen__Qwen3_5_2B_train20/examples/train_world_000000_prop_0000_para_07/logits_summary.npz,
train_world_000000_prop_0001_para_00,train_world_000000,train_world_000000_prop_0001,para_00,train,False,True,False,and_v0_rel_v0_attr_v1,and,and,ok,eos_token,4,0.62,artifacts/micro_world_v1/generations/Qwen__Qwen3_5_2B_train20/examples/train_world_000000_prop_0001_para_00/sample.json,artifacts/micro_world_v1/generations/Qwen__Qwen3_5_2B_train20/examples/train_world_000000_prop_0001_para_00/verdict_states.npz,artifacts/micro_world_v1/generations/Qwen__Qwen3_5_2B_train20/examples/train_world_000000_prop_0001_para_00/logits_summary.npz,
train_world_000000_prop_0001_para_01,train_world_000000,train_world_000000_prop_0001,para_01,train,False,True,False,and_v1_rel_v1_attr_v2,and,and,ok,eos_token,4,0.629,artifacts/micro_world_v1/generations/Qwen__Qwen3_5_2B_train20/examples/train_world_000000_prop_0001_para_01/sample.json,artifacts/micro_world_v1/generations/Qwen__Qwen3_5_2B_train20/examples/train_world_000000_prop_0001_para_01/verdict_states.npz,artifacts/micro_world_v1/generations/Qwen__Qwen3_5_2B_train20/examples/train_world_000000_prop_0001_para_01/logits_summary.npz,
train_world_000000_prop_0001_para_02,train_world_000000,train_world_000000_prop_0001,para_02,train,False,True,False,and_v2_rel_v2_attr_v3,and,and,ok,eos_token,4,0.603,artifacts/micro_world_v1/generations/Qwen__Qwen3_5_2B_train20/examples/train_world_000000_prop_0001_para_02/sample.json,artifacts/micro_world_v1/generations/Qwen__Qwen3_5_2B_train20/examples/train_world_000000_prop_0001_para_02/verdict_states.npz,artifacts/micro_world_v1/generations/Qwen__Qwen3_5_2B_train20/examples/train_world_000000_prop_0001_para_02/logits_summary.npz,
train_world_000000_prop_0001_para_03,train_world_000000,train_world_000000_prop_0001,para_03,train,False,True,False,and_v3_rel_v3_attr_v4,and,and,ok,eos_token,4,0.635,artifacts/micro_world_v1/generations/Qwen__Qwen3_5_2B_train20/examples/train_world_000000_prop_0001_para_03/sample.json,artifacts/micro_world_v1/generations/Qwen__Qwen3_5_2B_train20/examples/train_world_000000_prop_0001_para_03/verdict_states.npz,artifacts/micro_world_v1/generations/Qwen__Qwen3_5_2B_train20/examples/train_world_000000_prop_0001_para_03/logits_summary.npz,
train_world_000000_prop_0001_para_04,train_world_000000,train_world_000000_prop_0001,para_04,train,False,True,False,and_v0_rel_v0_attr_v1,and,and,ok,eos_token,4,0.603,artifacts/micro_world_v1/generations/Qwen__Qwen3_5_2B_train20/examples/train_world_000000_prop_0001_para_04/sample.json,artifacts/micro_world_v1/generations/Qwen__Qwen3_5_2B_train20/examples/train_world_000000_prop_0001_para_04/verdict_states.npz,artifacts/micro_world_v1/generations/Qwen__Qwen3_5_2B_train20/examples/train_world_000000_prop_0001_para_04/logits_summary.npz,
