world_id,alpha,beta
eval_world_000000,1.5,0.5
eval_world_000001,1.5,0.5
eval_world_000002,1.5,0.5
eval_world_000003,1.5,0.5
eval_world_000004,1.5,0.5
eval_world_000005,1.5,0.5
eval_world_000006,1.5,0.5
eval_world_000007,1.5,0.5
eval_world_000008,1.5,0.5
eval_world_000009,1.5,0.5
eval_world_000010,1.5,0.5
eval_world_000011,0.0,0.5
eval_world_000012,1.5,0.5
eval_world_000013,1.5,0.5
eval_world_000014,1.5,0.5
eval_world_000015,1.5,0.5
eval_world_000016,1.5,0.5
eval_world_000017,1.5,0.5
eval_world_000018,1.5,0.5
eval_world_000019,1.5,0.5
