world_id,alpha,beta
eval_world_000000,2.0,-0.25
eval_world_000001,2.0,-0.25
eval_world_000002,2.0,-0.25
eval_world_000003,2.0,-0.25
eval_world_000004,2.0,-0.25
eval_world_000005,0.5,0.0
eval_world_000006,2.0,-0.25
eval_world_000007,2.0,-0.25
eval_world_000008,2.0,-0.25
eval_world_000009,2.0,-0.25
eval_world_000010,2.0,-0.25
eval_world_000011,2.0,-0.25
eval_world_000012,1.5,-0.25
eval_world_000013,2.0,-0.25
eval_world_000014,2.0,-0.25
eval_world_000015,2.0,-0.25
eval_world_000016,2.0,-0.25
eval_world_000017,2.0,-0.25
eval_world_000018,2.0,-0.25
eval_world_000019,0.5,0.0
