sample_id,model_id,correct,token_count,stop_reason,pred_answer,gold_answer,extractor_confident,peak_h0_entropy,mean_h0_entropy,auc_h0_entropy,auc_h0_entropy_per_token,late_stage_mean_h0,late_stage_slope_h0,max_delta_h0,num_h0_spikes,time_to_peak_h0,spike_threshold_h0,mean_window_h0_16,peak_window_h0_16,mean_window_h0_32,peak_window_h0_32,mean_window_h0_64,peak_window_h0_64,h0_entropy_final
sample_0001,Qwen/Qwen3.5-0.8B,False,286,eos_token,26,18,True,5.614879283687847,4.714668524465058,1312.6212959543286,4.589584950889261,5.521370738411916,0.003807853287792528,0.45198512373905464,0,286.0,5.660325710591076,2.708050201087208,2.7080502010872096,3.433987204454145,3.4339872044541466,4.143134726328531,4.143134726328534,5.614879283687847
sample_0002,Qwen/Qwen3.5-0.8B,False,512,max_new_tokens,2,3,True,6.182257078805801,5.249653564904908,2650.5676765159856,5.176889993195284,6.080406557104914,0.0021787526668493127,0.45198512373905375,0,512.0,6.209396810408305,2.708050201087207,2.70805020108721,3.4339872044541444,3.4339872044541475,4.143134726328532,4.143134726328533,6.182257078805801
sample_0003,Qwen/Qwen3.5-0.8B,False,401,eos_token,120000,70000,True,5.9204332798769475,5.015820137173515,1972.8386020405403,4.9197970125699255,5.831349703920037,0.00261384998336524,0.45198512373905864,0,401.0,5.947311117659064,2.708050201087207,2.70805020108721,3.4339872044541435,3.433987204454147,4.143134726328531,4.143134726328533,5.9204332798769475
sample_0004,Qwen/Qwen3.5-0.8B,False,155,eos_token,180,540,True,4.997964624417108,4.155831770647071,612.8091243138399,3.953607253637677,4.911534577178856,0.006827467619004565,0.4519851237390553,0,155.0,5.045535074082699,2.708050201087207,2.7080502010872096,3.4339872044541453,3.4339872044541466,4.143134726328531,4.143134726328533,4.997964624417108
sample_0005,Qwen/Qwen3.5-0.8B,False,445,eos_token,40,20,True,6.04031199196012,5.120652340966278,2239.4810956706224,5.03254178802387,5.941720470584004,0.0024928508771980304,0.4519851237390564,0,445.0,6.0694187800902615,2.708050201087207,2.70805020108721,3.433987204454145,3.4339872044541466,4.143134726328532,4.143134726328534,6.04031199196012
sample_0006,Qwen/Qwen3.5-0.8B,False,512,max_new_tokens,3,64,True,6.036385883115579,5.196988503791728,2624.10556786187,5.125206187230215,5.949475179637026,0.0018188862370043563,0.4519851237390582,0,512.0,6.069228722953792,2.7080502010872074,2.70805020108721,3.4339872044541453,3.4339872044541466,4.143134726328532,4.143134726328533,6.036385883115579
sample_0007,Qwen/Qwen3.5-0.8B,True,271,eos_token,260,260,True,5.547196067460848,4.659634304115809,1228.2529777187506,4.532298810770297,5.45677276197984,0.0037595996065352406,0.45198512373905775,0,271.0,5.585406403980516,2.7080502010872074,2.70805020108721,3.4339872044541457,3.4339872044541466,4.1431347263285305,4.143134726328533,5.547196067460848
sample_0008,Qwen/Qwen3.5-0.8B,False,351,eos_token,120,160,True,5.818278056252559,4.907282142113556,1686.3911224583583,4.8045331124169754,5.7231420126059005,0.003083350913486074,0.4519851237390553,0,351.0,5.858208403211243,2.7080502010872087,2.70805020108721,3.433987204454145,3.4339872044541466,4.143134726328531,4.143134726328532,5.818278056252559
sample_0009,Qwen/Qwen3.5-0.8B,False,496,eos_token,475,45,True,6.161163168453558,5.225203081535115,2554.5857694802726,5.150374535242485,6.060486094918632,0.002213129010157674,0.4519851237390573,0,496.0,6.189335067433463,2.7080502010872074,2.70805020108721,3.433987204454144,3.4339872044541466,4.143134726328531,4.143134726328533,6.161163168453558
sample_0010,Qwen/Qwen3.5-0.8B,False,265,eos_token,472,460,True,5.538661339447078,4.647378375779706,1195.327118459492,4.510668371545253,5.4466899922979755,0.004179985633232184,0.4519851237390573,0,265.0,5.572211632844336,2.7080502010872074,2.70805020108721,3.4339872044541457,3.4339872044541466,4.143134726328531,4.143134726328533,5.538661339447078
sample_0001,Qwen/Qwen3.5-2B,False,202,eos_token,26,18,True,5.262232806854135,4.397592502476721,854.5827053055416,4.230607452007631,5.185566786747577,0.0051607272962158855,0.451985123739052,0,202.0,5.301298243972227,2.708050201087208,2.7080502010872096,3.433987204454146,3.4339872044541466,4.1431347263285305,4.143134726328533,5.262232806854135
sample_0002,Qwen/Qwen3.5-2B,True,218,eos_token,3,3,True,5.335615874159641,4.464257851799297,939.0516244175473,4.307576258796089,5.254402052727422,0.004829871947995588,0.45198512373905464,0,218.0,5.368767211587153,2.7080502010872083,2.7080502010872096,3.4339872044541444,3.4339872044541466,4.143134726328531,4.143134726328533,5.335615874159641
sample_0003,Qwen/Qwen3.5-2B,False,358,eos_token,195000,70000,True,5.801473355846344,4.899434422301101,1717.1076969340377,4.796390214899547,5.703576824940492,0.003167722374973132,0.4519851237390573,0,358.0,5.835728248445409,2.7080502010872083,2.7080502010872096,3.4339872044541444,3.4339872044541466,4.1431347263285305,4.143134726328532,5.801473355846344
sample_0004,Qwen/Qwen3.5-2B,False,158,eos_token,180,540,True,5.0084858541450386,4.174177161249027,627.2537457824724,3.9699604163447617,4.932316563261754,0.006602979621569104,0.4519851237390551,0,158.0,5.0580433080686955,2.708050201087207,2.7080502010872096,3.4339872044541453,3.4339872044541466,4.143134726328531,4.143134726328533,5.0084858541450386
sample_0005,Qwen/Qwen3.5-2B,True,351,eos_token,20,20,True,5.813105396257163,4.89699987071052,1682.8282767113205,4.794382554733107,5.716158115898624,0.003112162106413642,0.45198512373905997,0,351.0,5.835827773061363,2.708050201087208,2.70805020108721,3.433987204454145,3.4339872044541466,4.1431347263285305,4.143134726328533,5.813105396257163
sample_0006,Qwen/Qwen3.5-2B,False,234,eos_token,50,64,True,5.421514030447061,4.53760199924644,1027.153657972959,4.389545546892988,5.3347362133439615,0.004475333848672058,0.45198512373905686,0,234.0,5.467777351242468,2.708050201087208,2.70805020108721,3.4339872044541453,3.4339872044541466,4.1431347263285305,4.143134726328533,5.421514030447061
sample_0007,Qwen/Qwen3.5-2B,True,221,eos_token,260,260,True,5.3423929967285515,4.476637498057102,954.2621007461504,4.317928057674889,5.2626317227642865,0.0048800073073066805,0.45198512373905575,0,221.0,5.385991517847615,2.7080502010872083,2.70805020108721,3.4339872044541444,3.4339872044541466,4.143134726328531,4.143134726328533,5.3423929967285515
sample_0008,Qwen/Qwen3.5-2B,False,380,eos_token,120,160,True,5.897109360683742,4.971818317461136,1853.717648345923,4.878204337752429,5.797125299113618,0.0029451270082143676,0.4519851237390553,0,380.0,5.921143894628623,2.708050201087208,2.70805020108721,3.433987204454145,3.433987204454147,4.143134726328531,4.143134726328533,5.897109360683742
sample_0009,Qwen/Qwen3.5-2B,False,512,max_new_tokens,4,45,True,6.19861658706765,5.257783203555004,2654.664813933709,5.184892214714275,6.0946179092728965,0.0021540993624946225,0.45198512373905686,0,512.0,6.228901831555369,2.708050201087207,2.70805020108721,3.433987204454145,3.4339872044541466,4.143134726328532,4.143134726328533,6.19861658706765
sample_0010,Qwen/Qwen3.5-2B,True,345,eos_token,460,460,True,5.789638789535934,4.890071736015662,1649.3488634265855,4.780721343265465,5.698486970844761,0.0030317398969128637,0.4519851237390555,0,345.0,5.83822486926548,2.708050201087208,2.7080502010872105,3.4339872044541453,3.433987204454147,4.143134726328532,4.143134726328533,5.789638789535934
