sample_id,correct,token_count,answer_length,stop_reason,pred_answer,gold_answer,extractor_confident,state_cosine_mean,state_cosine_std,state_cosine_min,late_state_cosine_mean,late_state_cosine_std,step_dir_cosine_mean,step_dir_cosine_std,step_dir_cosine_min,late_step_dir_cosine_mean,late_step_dir_cosine_std,turning_angle_mean,turning_angle_std,turning_angle_max,late_turning_angle_mean,late_turning_angle_std,direction_stability_full,direction_stability_late,subspace_alignment_mean,subspace_alignment_min,late_top1_var_frac,late_top3_var_frac,late_participation_ratio
sample_0001,False,202,111,eos_token,26,18,True,0.41289258003234863,0.17730148136615753,-0.04313535988330841,0.40165701508522034,0.1333937793970108,-0.35441234707832336,0.14528776705265045,-0.8104938268661499,-0.3417753577232361,0.11154414713382721,1.938684105873108,0.16220524907112122,2.515791177749634,1.9226627349853516,0.12276160717010498,0.02239905297756195,0.03926168754696846,0.23699313402175903,0.000490551523398608,0.12756048142910004,0.29829850792884827,17.701669692993164
sample_0002,True,218,132,eos_token,3,3,True,0.41540995240211487,0.17678815126419067,-0.06333272159099579,0.4067205488681793,0.14921528100967407,-0.33812031149864197,0.14972956478595734,-0.8822358250617981,-0.3452877104282379,0.08981551229953766,1.9216506481170654,0.16818635165691376,2.6513864994049072,1.9251213073730469,0.09674475342035294,0.022550174966454506,0.041796330362558365,0.19693481922149658,0.020909342914819717,0.1521526277065277,0.3557141423225403,14.749478340148926
sample_0003,False,358,150,eos_token,195000,70000,True,0.44843584299087524,0.159694105386734,0.018677741289138794,0.45821434259414673,0.14634525775909424,-0.30931010842323303,0.14961302280426025,-0.7604434490203857,-0.27991795539855957,0.13881324231624603,1.8896187543869019,0.16047212481498718,2.4347920417785645,1.8576946258544922,0.14657670259475708,0.023144997656345367,0.03384338691830635,0.1836158186197281,0.04031572863459587,0.14245523512363434,0.32406559586524963,15.853599548339844
sample_0004,False,158,84,eos_token,180,540,True,0.39375096559524536,0.17249146103858948,-0.03334455192089081,0.4119313955307007,0.14982196688652039,-0.3376593589782715,0.1308327168226242,-0.7707654237747192,-0.3152872920036316,0.11807220429182053,1.9190536737442017,0.14244934916496277,2.450838088989258,1.8939563035964966,0.12407203763723373,0.02831851691007614,0.05305701866745949,0.21018551290035248,0.05882523953914642,0.13943614065647125,0.325386643409729,16.211698532104492
sample_0005,True,351,196,eos_token,20,20,True,0.4163753092288971,0.17906734347343445,-0.06244366243481636,0.3973679840564728,0.1577223390340805,-0.32864466309547424,0.15206190943717957,-0.8240339756011963,-0.3421470820903778,0.1426181048154831,1.9115967750549316,0.17013578116893768,2.5392913818359375,1.925475001335144,0.16067978739738464,0.019393693655729294,0.0297645702958107,0.1658989042043686,0.010888202115893364,0.12909682095050812,0.3072260618209839,16.894689559936523
sample_0006,False,234,125,eos_token,50,64,True,0.4110465943813324,0.1617199331521988,-0.06079837679862976,0.4011692702770233,0.12625344097614288,-0.3264017701148987,0.13461796939373016,-0.870357871055603,-0.321860671043396,0.10183514654636383,1.9076979160308838,0.1491122841835022,2.6267249584198,1.9005086421966553,0.10837532579898834,0.015820268541574478,0.03409664332866669,0.18606442213058472,0.01118028350174427,0.12761446833610535,0.311791330575943,16.98191261291504
sample_0007,True,221,105,eos_token,260,260,True,0.3925243020057678,0.16103383898735046,-0.13858820497989655,0.43155500292778015,0.13209089636802673,-0.3423008322715759,0.12817278504371643,-0.765483021736145,-0.33090949058532715,0.1123737320303917,1.9238975048065186,0.13952656090259552,2.4425880908966064,1.9106857776641846,0.12061166018247604,0.019101900979876518,0.04422127828001976,0.2633090317249298,0.0088881216943264,0.11893722414970398,0.3125203847885132,17.206581115722656
sample_0008,False,380,172,eos_token,120,160,True,0.4115796387195587,0.1743384301662445,-0.006716685835272074,0.3918564021587372,0.15114885568618774,-0.339336097240448,0.13452979922294617,-0.7145430445671082,-0.3353235721588135,0.10601997375488281,1.9210500717163086,0.1461583375930786,2.366767168045044,1.915003776550293,0.1131860688328743,0.019141847267746925,0.0358656644821167,0.09835568070411682,0.026082882657647133,0.13795875012874603,0.34328627586364746,14.965436935424805
sample_0009,False,512,282,max_new_tokens,4,45,True,0.41239169239997864,0.15078696608543396,0.003566436003893614,0.37017256021499634,0.14687073230743408,-0.35184454917907715,0.13174228370189667,-0.8123192191123962,-0.3609073758125305,0.15727315843105316,1.934594750404358,0.14490553736686707,2.518914222717285,1.9462082386016846,0.17333373427391052,0.016843754798173904,0.024155082181096077,0.1293097287416458,0.008893493562936783,0.17857423424720764,0.33412647247314453,14.544890403747559
sample_0010,True,345,171,eos_token,460,460,True,0.41385841369628906,0.1646062433719635,-0.04099695011973381,0.4024997651576996,0.16166475415229797,-0.3197662830352783,0.12881909310817719,-0.7191620469093323,-0.31073182821273804,0.12398126721382141,1.8995747566223145,0.13799746334552765,2.373392105102539,1.8892985582351685,0.13005831837654114,0.022082097828388214,0.039827391505241394,0.08800005167722702,0.013683750294148922,0.15518474578857422,0.3373766541481018,14.931219100952148
