sample_id,sample_index,status,pred_answer,gold_answer,correct,token_count,answer_length,runtime_sec,stop_reason,h0_entropy,h0_total_persistence,logits_path,error
sample_0001,0,ok,26,18,False,199,109,17.219,eos_token,5.249345732335257,1367.1705334186554,artifacts/qwen35_2b_uncertainty_15/traces/sample_0001/logits_summary.npz,
sample_0002,1,ok,3,3,True,218,132,18.102,eos_token,5.335640223684804,1432.6751766204834,artifacts/qwen35_2b_uncertainty_15/traces/sample_0002/logits_summary.npz,
sample_0003,2,ok,195000,70000,False,424,176,35.398,eos_token,5.980534895133893,2329.3845361471176,artifacts/qwen35_2b_uncertainty_15/traces/sample_0003/logits_summary.npz,
sample_0004,3,ok,180,540,False,158,84,13.022,eos_token,5.0084245064290895,1112.9052031040192,artifacts/qwen35_2b_uncertainty_15/traces/sample_0004/logits_summary.npz,
sample_0005,4,ok,20,20,True,351,196,29.111,eos_token,5.813562513282439,2084.102154493332,artifacts/qwen35_2b_uncertainty_15/traces/sample_0005/logits_summary.npz,
sample_0006,5,ok,50,64,False,234,125,19.517,eos_token,5.421505080551784,1549.7885258197784,artifacts/qwen35_2b_uncertainty_15/traces/sample_0006/logits_summary.npz,
sample_0007,6,ok,260,260,True,221,105,18.478,eos_token,5.342232710662012,1427.9304797649384,artifacts/qwen35_2b_uncertainty_15/traces/sample_0007/logits_summary.npz,
sample_0008,7,ok,220,160,False,444,193,37.281,eos_token,6.0443969244838875,2501.2789356708527,artifacts/qwen35_2b_uncertainty_15/traces/sample_0008/logits_summary.npz,
sample_0009,8,ok,4,45,False,512,282,42.562,max_new_tokens,6.198538287040317,2796.9343124628067,artifacts/qwen35_2b_uncertainty_15/traces/sample_0009/logits_summary.npz,
sample_0010,9,ok,460,460,True,345,171,28.655,eos_token,5.789566973889068,2001.3794552087784,artifacts/qwen35_2b_uncertainty_15/traces/sample_0010/logits_summary.npz,
sample_0011,10,ok,366,366,True,405,184,33.803,eos_token,5.951802260356435,2244.309346437454,artifacts/qwen35_2b_uncertainty_15/traces/sample_0011/logits_summary.npz,
sample_0012,11,ok,694,694,True,274,120,22.775,eos_token,5.545543617694442,1668.3953431844711,artifacts/qwen35_2b_uncertainty_15/traces/sample_0012/logits_summary.npz,
sample_0013,12,ok,90,13,False,512,226,42.922,max_new_tokens,6.194276472771394,2838.78786444664,artifacts/qwen35_2b_uncertainty_15/traces/sample_0013/logits_summary.npz,
sample_0014,13,ok,18,18,True,433,196,35.698,eos_token,6.0157227513991245,2436.335225343704,artifacts/qwen35_2b_uncertainty_15/traces/sample_0014/logits_summary.npz,
sample_0015,14,ok,60\%,60,False,416,195,34.269,eos_token,5.977792379143887,2250.564952135086,artifacts/qwen35_2b_uncertainty_15/traces/sample_0015/logits_summary.npz,
