sample_id,correct,token_count,answer_length,stop_reason,pred_answer,gold_answer,extractor_confident,mean_token_entropy,max_token_entropy,late_mean_entropy,final_token_entropy,mean_top2_margin,min_top2_margin,late_mean_top2_margin
sample_0001,False,199,109,eos_token,26,18,True,0.30118367075920105,1.7364156246185303,0.08341920375823975,2.3189599232864566e-05,0.830775260925293,0.0,0.9573529362678528
sample_0002,True,218,132,eos_token,3,3,True,0.1886545717716217,1.5850011110305786,0.06883189082145691,4.5650107495021075e-05,0.8939881920814514,0.042237788438797,0.9582035541534424
sample_0003,False,424,176,eos_token,195000,70000,True,0.18045029044151306,1.951404333114624,0.06453310698270798,7.456955790985376e-05,0.8991826176643372,0.0,0.9736606478691101
sample_0004,False,158,84,eos_token,180,540,True,0.12801353633403778,1.1754226684570312,0.07766032963991165,1.2562582014652435e-05,0.9155901074409485,0.0,0.9486470222473145
sample_0005,True,351,196,eos_token,20,20,True,0.3483962416648865,2.782743453979492,0.3626493215560913,2.669474997674115e-05,0.8174222111701965,0.0,0.8039225935935974
sample_0006,False,234,125,eos_token,50,64,True,0.32279694080352783,2.1201529502868652,0.08241868764162064,0.00010255930828861892,0.8127761483192444,0.0,0.9528645277023315
sample_0007,True,221,105,eos_token,260,260,True,0.12879133224487305,1.7224762439727783,0.10075990110635757,0.00011872439790749922,0.9244834780693054,0.0,0.936890721321106
sample_0008,False,444,193,eos_token,220,160,True,0.3549346625804901,3.9992570877075195,0.19196709990501404,3.979037137469277e-05,0.82672119140625,0.0,0.8970751762390137
sample_0009,False,512,282,max_new_tokens,4,45,True,0.26247143745422363,2.9481515884399414,0.38124191761016846,1.8882983922958374,0.8620537519454956,0.0,0.8294348120689392
sample_0010,True,345,171,eos_token,460,460,True,0.1427994668483734,2.059406280517578,0.010040638037025928,4.1252817027270794e-05,0.914139449596405,0.0,0.9967654943466187
sample_0011,True,405,184,eos_token,366,366,True,0.11581230908632278,2.093973159790039,0.02267407439649105,8.153195085469633e-05,0.930846095085144,0.0,0.9782429337501526
sample_0012,True,274,120,eos_token,694,694,True,0.06891465187072754,1.1675289869308472,0.02794988825917244,6.657605263171718e-05,0.9580218195915222,0.04760220646858215,0.9828743934631348
sample_0013,False,512,226,max_new_tokens,90,13,True,0.35937803983688354,3.435692071914673,0.2621632218360901,0.14018552005290985,0.810897946357727,0.0,0.8656933903694153
sample_0014,True,433,196,eos_token,18,18,True,0.15577349066734314,2.250523567199707,0.09882967174053192,5.197464633965865e-05,0.9098818898200989,0.0,0.9318268895149231
sample_0015,False,416,195,eos_token,60\%,60,True,0.20439808070659637,1.9921427965164185,0.20493313670158386,0.00011261367035331205,0.8771756887435913,0.0,0.8711436986923218
