sample_id,correct,token_count,answer_length,stop_reason,pred_answer,gold_answer,extractor_confident,mean_window_h0_16,max_window_h0_16,var_window_h0_16,late_window_mean_h0_16,max_positive_delta_window_h0_16,fraction_high_h0_windows_16,mean_window_h0_32,max_window_h0_32,var_window_h0_32,late_window_mean_h0_32,max_positive_delta_window_h0_32,fraction_high_h0_windows_32,mean_window_h0_64,max_window_h0_64,var_window_h0_64,late_window_mean_h0_64,max_positive_delta_window_h0_64,fraction_high_h0_windows_64
sample_0001,False,202,111,eos_token,26,18,True,2.6706178167873484,2.698784269152392,0.0003835596756988722,2.689752092093678,0.034631700935616294,0.020833333333333332,3.3947780408229473,3.419561994787492,0.0002443990666463082,3.4151994040048406,0.02271539585394544,0.20454545454545456,4.098284110886728,4.116788534412359,9.394439395210376e-05,4.1122840139638255,0.010206431988525999,0.2777777777777778
sample_0002,True,218,132,eos_token,3,3,True,2.6664850130099866,2.701872352362881,0.00033640646945095384,2.670560290982211,0.0392791408551556,0.15384615384615385,3.385938437176693,3.4151671943467488,0.0003497698684052193,3.378553049960311,0.027483968197727915,0.10416666666666667,4.091674035474381,4.107265761556498,0.00010681899885580924,4.082698927468142,0.014140920997280482,0.0
sample_0003,False,358,150,eos_token,195000,70000,True,2.6663836042943534,2.695904528754442,0.0005746883233504448,2.658992169674366,0.0672324745361661,0.0,3.3739301552139507,3.415009788705749,0.0005914431396305419,3.3703827378355222,0.03856529449765933,0.07228915662650602,4.065193737280912,4.106195842420428,0.0005485206972350148,4.066864502048547,0.029552686798506755,0.2
sample_0004,False,158,84,eos_token,180,540,True,2.6753988844749137,2.6954532686493518,0.000248856903518989,2.6807470445947583,0.029977840994098948,0.16216216216216217,3.3832733024668946,3.410923798699075,0.0008085240071397011,3.3889356302179285,0.04494912094970749,0.0,4.083539274325654,4.115109233982973,0.0004408026218673084,4.063397995979541,0.020143515580463678,0.36
sample_0005,True,351,196,eos_token,20,20,True,2.6653226305372315,2.7007569843397965,0.0004016727472913533,2.671768372482266,0.06232738852936004,0.15294117647058825,3.3866902438416364,3.4140238680395023,0.0001840310394071529,3.3999934536804433,0.021915045183236614,0.12345679012345678,4.090613148966902,4.107421856888741,0.00014377643249104778,4.097459241968682,0.025086696080979465,0.0684931506849315
sample_0006,False,234,125,eos_token,50,64,True,2.677749044928466,2.697485769009848,0.00019483926971754329,2.67336284524392,0.03377602755217479,0.08928571428571429,3.397586621233926,3.4222808883871605,0.0002836580650274424,3.373609160427402,0.02058202495732031,0.09615384615384616,4.108364545769645,4.123762208686096,0.00017885581775735593,4.087876411636295,0.00810519581193958,0.0
sample_0007,True,221,105,eos_token,260,260,True,2.6709933314577525,2.7033563448939812,0.0009145786763608358,2.670859768136147,0.0928236491881762,0.09433962264150944,3.3791623735952174,3.4175083709801486,0.0008056049124411721,3.3672203573545425,0.045802655667616765,0.04081632653061224,4.078548400278201,4.103240949933226,0.0002925813083474661,4.056823293868657,0.023072066554838955,0.17073170731707318
sample_0008,False,380,172,eos_token,120,160,True,2.6678108650512504,2.6980717649698684,0.0004970607608546398,2.656834855868932,0.09746535704559856,0.13043478260869565,3.381170350034006,3.4084375743957267,0.0004276956156783341,3.3727513110130296,0.04803226463838861,0.1590909090909091,4.084846049432471,4.115011276653288,0.00046885176422167406,4.090378547115689,0.019052806760187835,0.1875
sample_0009,False,512,282,max_new_tokens,4,45,True,2.673890446064422,2.7032899305878053,0.0003184908059185167,2.681935632141964,0.03556714605176481,0.096,3.393187931986951,3.4221025851960576,0.00031739011673381106,3.3981756833937853,0.03545722189212075,0.09917355371900827,4.0975962328793205,4.11644757308318,0.00015935631103578663,4.08809896201227,0.01476926699393033,0.02654867256637168
sample_0010,True,345,171,eos_token,460,460,True,2.663892337478046,2.699097901789587,0.0006086510586683155,2.646210319436076,0.08760571870389366,0.10714285714285714,3.3819974094623064,3.4092828111757663,0.0007005781642767598,3.3550664026902153,0.04663303060222512,0.025,4.086151757189806,4.111899557263863,0.000531765913594353,4.058888012385068,0.018961420140450436,0.0
