sample_id,correct,token_count,answer_length,stop_reason,pred_answer,gold_answer,extractor_confident,mean_window_h0_16,max_window_h0_16,var_window_h0_16,late_window_mean_h0_16,max_positive_delta_window_h0_16,fraction_high_h0_windows_16,mean_window_h0_32,max_window_h0_32,var_window_h0_32,late_window_mean_h0_32,max_positive_delta_window_h0_32,fraction_high_h0_windows_32,mean_window_h0_64,max_window_h0_64,var_window_h0_64,late_window_mean_h0_64,max_positive_delta_window_h0_64,fraction_high_h0_windows_64
sample_0001,False,202,111,eos_token,26,18,True,2.708050201087208,2.7080502010872096,2.2926270057985656e-30,2.7080502010872083,6.217248937900877e-15,0.16666666666666666,3.433987204454146,3.4339872044541466,3.2988728763787765e-30,3.4339872044541444,2.6645352591003757e-15,0.13636363636363635,4.1431347263285305,4.143134726328533,1.5777218104420236e-30,4.143134726328531,3.552713678800501e-15,0.0
sample_0002,True,218,132,eos_token,3,3,True,2.7080502010872083,2.7080502010872096,2.328656710604333e-30,2.708050201087208,3.9968028886505635e-15,0.21153846153846154,3.4339872044541444,3.4339872044541466,9.039031205657426e-31,3.4339872044541435,3.1086244689504383e-15,0.14583333333333334,4.143134726328531,4.143134726328533,7.494178599599612e-31,4.143134726328531,2.6645352591003757e-15,0.0
sample_0003,False,358,150,eos_token,195000,70000,True,2.7080502010872083,2.7080502010872096,1.638926535847102e-30,2.708050201087208,4.884981308350689e-15,0.20689655172413793,3.4339872044541444,3.4339872044541466,7.5321959926223115e-31,3.4339872044541444,2.6645352591003757e-15,0.1566265060240964,4.1431347263285305,4.143134726328532,1.0623326856976292e-30,4.143134726328531,2.6645352591003757e-15,0.0
sample_0004,False,158,84,eos_token,180,540,True,2.708050201087207,2.7080502010872096,3.096812067117621e-30,2.7080502010872074,6.217248937900877e-15,0.05405405405405406,3.4339872044541453,3.4339872044541466,1.0637669782525765e-30,3.433987204454145,3.552713678800501e-15,0.18181818181818182,4.143134726328531,4.143134726328533,9.150786500563736e-31,4.143134726328532,3.552713678800501e-15,0.0
sample_0005,True,351,196,eos_token,20,20,True,2.708050201087208,2.70805020108721,1.4477917789938569e-30,2.708050201087208,5.773159728050814e-15,0.047058823529411764,3.433987204454145,3.4339872044541466,9.763371080050177e-31,3.433987204454145,2.6645352591003757e-15,0.04938271604938271,4.1431347263285305,4.143134726328533,1.2103071422568948e-30,4.143134726328532,3.552713678800501e-15,0.0
sample_0006,False,234,125,eos_token,50,64,True,2.708050201087208,2.70805020108721,1.243160265817041e-30,2.7080502010872087,3.9968028886505635e-15,0.017857142857142856,3.4339872044541453,3.4339872044541466,1.1946691593491284e-30,3.433987204454144,3.552713678800501e-15,0.21153846153846154,4.1431347263285305,4.143134726328533,1.2729346425157235e-30,4.1431347263285305,2.6645352591003757e-15,0.0
sample_0007,True,221,105,eos_token,260,260,True,2.7080502010872083,2.70805020108721,2.2586724974960102e-30,2.7080502010872074,5.329070518200751e-15,0.1509433962264151,3.4339872044541444,3.4339872044541466,8.371585116631146e-31,3.4339872044541453,3.1086244689504383e-15,0.061224489795918366,4.143134726328531,4.143134726328533,7.5037988545413315e-31,4.143134726328531,3.552713678800501e-15,0.0
sample_0008,False,380,172,eos_token,120,160,True,2.708050201087208,2.70805020108721,1.466252334704272e-30,2.7080502010872083,3.9968028886505635e-15,0.08695652173913043,3.433987204454145,3.433987204454147,9.8831721364337e-31,3.433987204454145,2.6645352591003757e-15,0.06818181818181818,4.143134726328531,4.143134726328533,7.691393825904865e-31,4.143134726328531,2.6645352591003757e-15,0.0
sample_0009,False,512,282,max_new_tokens,4,45,True,2.708050201087207,2.70805020108721,1.9279760523601528e-30,2.7080502010872074,3.552713678800501e-15,0.256,3.433987204454145,3.4339872044541466,8.670950445817732e-31,3.4339872044541444,3.1086244689504383e-15,0.2066115702479339,4.143134726328532,4.143134726328533,1.8430024688349303e-30,4.143134726328529,2.6645352591003757e-15,0.0
sample_0010,True,345,171,eos_token,460,460,True,2.708050201087208,2.7080502010872105,2.3384091119051422e-30,2.708050201087208,5.329070518200751e-15,0.047619047619047616,3.4339872044541453,3.433987204454147,1.0797533640212598e-30,3.4339872044541444,2.6645352591003757e-15,0.025,4.143134726328532,4.143134726328533,1.742067832363068e-30,4.143134726328532,2.6645352591003757e-15,0.0
